SCATS Number,Location Description,Site Type
970,WARRIGAL/HIGH ST RD,INT
2000,BURWOOD HWY/WARRIGAL,INT
2200,MAROONDAH/UNION,INT
2820,CHANDLER HWY/PRINCESS ST,INT
2825,EASTERN/BURKE ON RAMP,INT
2827,EASTERN FWY/BULLEEN/THOMPSONS,INT
2846,MONASH/HIGH/WILLS,INT
3001,BARKERS/CHURCH/HIGH,INT
3002,BARKERS/DENMARK/POWER,INT
3120,BURKE/CANTERBURY,INT
3122,CANTERBURY/STANHOPE,INT
3126,CANTERBURY/WARRIGAL,INT
3127,CANTERBURY/BALWYN,INT
3180,DONCASTER/BALWYN,INT
3662,HIGH/DENMARK/PRINCESS/S'PARK,INT
3682,WARRIGAL/RIVERSDALE,INT
3685,WARRIGAL/HIGHBURY,INT
3804,RIVERSDALE/TRAFALGAR,INT
3812,CAMBERWELL/SEYMOUR/TRAFALGAR,INT
4030,BURKE/DONCASTER/KILBY/HIGH,INT
4032,BURKE/BELMORE/HARP,INT
4034,BURKE/COTHAM/WHITEHORSE,INT
4035,BURKE/BARKERS/MONT ALBERT,INT
4040,BURKE/CAMBERWELL/RIVERSDALE,INT
4043,BURKE/TOORAK,INT
4051,DONCASTER/BULLEEN/SEVERN,INT
4057,BALWYN/BELMORE,INT
4063,WHITEHORSE/BALWYN,INT
4262,BURWOOD/CHURCH,INT
4263,BURWOOD/POWER,INT
4264,BURWOOD/GLENFERRIE,INT
4266,BURWOOD/AUBURN,INT
4270,GLENFERRIE/RIVERSDALE,INT
4272,RIVERSDALE/TOORONGA,INT
4273,TOORAK/TOORONGA,INT
4321,HIGH/HARP/VALERIE,INT
4324,COTHAM/GLENFERRIE,INT
4335,HIGH/CHARLES,INT
4812,SWAN/MADDEN,INT
4821,VICTORIA/BURNLEY/WALMER,INT
